RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =          100

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  174  179     0     0  con    0  1.0D+00  1.0D+00  9.349D-03  1.263D+01
  175  180     0     0  con    0  1.0D+00  5.5D-01  5.089D-03  1.262D+01
  176  181     0     0  con    0  1.0D+00  7.1D-01  6.232D-03  1.260D+01
  177  182     0     0  con    0  1.0D+00  8.2D-01  7.220D-03  1.260D+01
  178  183     0     0  con    0  1.0D+00  1.2D+00  7.206D-03  1.259D+01
  179  184     0     0  con    0  1.0D+00  9.0D-01  6.108D-03  1.258D+01
  180  185     0     0  con    0  1.0D+00  1.4D+00  4.714D-03  1.257D+01
  181  186     0     0  con    0  1.0D+00  7.0D-01  9.089D-03  1.256D+01
  182  187     0     0  con    0  1.0D+00  3.9D-01  3.946D-03  1.256D+01
  183  188     0     0  con    0  1.0D+00  6.1D-01  5.401D-03  1.255D+01
  184  189     0     0  con    0  1.0D+00  7.4D-01  9.156D-03  1.254D+01
  185  190     0     0  con    0  1.0D+00  1.4D+00  1.264D-02  1.253D+01
  186  191     0     0  con    0  1.0D+00  9.9D-01  1.128D-02  1.252D+01
  187  192     0     0  con    0  1.0D+00  3.2D-01  7.838D-03  1.251D+01
  188  193     0     0  con    0  1.0D+00  1.2D+00  6.767D-03  1.251D+01
  189  194     0     0  con    0  1.0D+00  4.9D-01  7.070D-03  1.250D+01
  190  195     0     0  con    0  1.0D+00  1.4D+00  5.428D-03  1.249D+01
  191  196     0     0  con    0  1.0D+00  1.2D+00  7.941D-03  1.249D+01
  192  197     0     0  con    0  1.0D+00  3.9D-01  5.849D-03  1.248D+01
  193  198     0     0  con    0  1.0D+00  6.7D-01  5.209D-03  1.247D+01
  194  199     0     0  con    0  1.0D+00  6.9D-01  7.878D-03  1.246D+01
  195  200     0     0  con    0  1.0D+00  1.1D+00  1.035D-02  1.246D+01
  196  201     0     0  con    0  1.0D+00  3.1D-01  4.374D-03  1.245D+01
  197  202     0     0  con    0  1.0D+00  2.9D-01  3.304D-03  1.245D+01
  198  203     0     0  con    0  1.0D+00  1.0D+00  5.076D-03  1.244D+01
  199  204     0     0  con    0  1.0D+00  7.5D-01  6.436D-03  1.243D+01
  200  205     0     0  con    0  1.0D+00  1.8D+00  7.038D-03  1.243D+01
  201  206     0     0  con    0  1.0D+00  4.9D-01  4.992D-03  1.242D+01
  202  207     0     0  con    0  1.0D+00  3.9D-01  3.804D-03  1.242D+01
  203  208     0     0  con    0  1.0D+00  4.5D-01  5.337D-03  1.241D+01
  204  209     0     0  con    0  1.0D+00  1.1D+00  8.278D-03  1.241D+01
  205  210     0     0  con    0  1.0D+00  7.4D-01  6.656D-03  1.240D+01
  206  211     0     0  con    0  1.0D+00  6.3D-01  4.687D-03  1.239D+01
  207  212     0     0  con    0  1.0D+00  1.1D+00  5.683D-03  1.239D+01
  208  213     0     0  con    0  1.0D+00  6.6D-01  6.747D-03  1.238D+01
  209  214     0     0  con    0  1.0D+00  8.7D-01  7.319D-03  1.238D+01
  210  215     0     0  con    0  1.0D+00  9.7D-01  5.951D-03  1.237D+01
  211  216     0     0  con    0  1.0D+00  4.0D-01  4.705D-03  1.236D+01
